blockchain,chain_id,dt,layer,name,num_qualified_txs,num_raw_txs,num_success_txs,last_updated
arbitrum,42161,2024-06-11 00:00:00.000 UTC,L2,Arbitrum One,1678174,2315309,2166552,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-04-25 00:00:00.000 UTC,L1,Avalanche C-Chain,193486,243622,227887,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-23 00:00:00.000 UTC,L1,Avalanche C-Chain,123131,173024,164775,2024-07-01 00:19:07.295055
linea,59144,2024-06-01 00:00:00.000 UTC,L2,Linea,724188,808557,787255,2024-07-01 00:19:07.295055
zkevm,1101,2024-05-01 00:00:00.000 UTC,L2,Polygon zkEVM,14101,18035,17466,2024-07-01 00:19:07.295055
linea,59144,2024-04-17 00:00:00.000 UTC,L2,Linea,357020,419909,413771,2024-07-01 00:19:07.295055
gnosis,100,2024-05-12 00:00:00.000 UTC,L1,Gnosis,128459,147289,144899,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-14 00:00:00.000 UTC,L1,Avalanche C-Chain,125525,161557,152540,2024-07-01 00:19:07.295055
mantle,5000,2024-04-02 00:00:00.000 UTC,L2,Mantle,239121,284876,259925,2024-07-01 00:19:07.295055
scroll,534352,2024-04-09 00:00:00.000 UTC,L2,Scroll,254565,295302,285455,2024-07-01 00:19:07.295055
blast,81457,2024-05-03 00:00:00.000 UTC,L2,Blast,515469,613145,596208,2024-07-01 00:19:07.295055
celo,42220,2024-04-17 00:00:00.000 UTC,L1,Celo,263205,316699,287458,2024-07-01 00:19:07.295055
optimism,10,2024-06-27 00:00:00.000 UTC,L2,OP Mainnet,373626,458691,436150,2024-07-01 00:19:07.295055
blast,81457,2024-04-20 00:00:00.000 UTC,L2,Blast,376749,407206,400028,2024-07-01 00:19:07.295055
gnosis,100,2024-06-27 00:00:00.000 UTC,L1,Gnosis,51770,79563,73235,2024-07-01 00:19:07.295055
blast,81457,2024-06-04 00:00:00.000 UTC,L2,Blast,627241,740320,721218,2024-07-01 00:19:07.295055
