defillama_slug,geckoId,symbol,cmcId,categories,chainId,github,twitter,url,parent,governanceID
Grove,grove,GRV,23196,['EVM'],,['Grovetoken'],,,,
PulseChain,pulsechain,PLS,,['EVM'],369,,PulsechainCom,https://pulsechain.com/,,
XPLA,xpla,XPLA,22359,['Cosmos'],,['xpladev'],XPLA_Official,https://www.xpla.io/,,
Neutron,,,,['Cosmos'],,,Neutron_org,https://www.neutron.org/,,
Onus,onus,ONUS,15261,['EVM'],,['ONUS-APP'],,,,
Pokt,pocket-network,POKT,11823,,,['pokt-network'],POKTnetwork,https://www.pokt.network/,,
Quasar,,QSR,,['Cosmos'],,['quasar-finance'],QuasarFi,https://quasar.fi/,,
Concordium,concordium,CCD,18031,,,['Concordium'],,,,
Chihuahua,chihuahua-token,HUAHUA,17208,['Cosmos'],,['ChihuahuaChain'],ChihuahuaChain,https://www.chihuahua.wtf/,,
Rollux,,,,"['EVM', 'Rollup', 'Bitcoin Sidechains']",570,['SYS-Labs'],RolluxL2,https://rollux.com/,"{'chain': 'Syscoin', 'types': ['L2', 'gas']}",
Tenet,tenet-1b000f7b-59cb-4e06-89ce-d62b32d362b9,TENET,24892,['EVM'],,['tenet-org'],tenet_org,https://tenet.org/,,
Mantle,mantle,MNT,27075,"['EVM', 'Rollup']",5000,['mantlenetworkio'],0xMantle,https://www.mantle.xyz/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
Neon,neon,NEON,26735,['EVM'],245022934,['neonevm'],Neon_EVM,https://neonevm.org/,,
Base,,,,"['EVM', 'Rollup']",8453,['base-org'],base,https://www.base.org/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
Linea,,,,"['EVM', 'Rollup']",,['ConsenSys'],LineaBuild,https://linea.build/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
GravityBridge,,,,['Cosmos'],,,,,,
Aura Network,aura-network,AURA,20326,['Cosmos'],,['aura-nw'],AuraNetworkHQ,https://aura.network/,,
Sei,sei-network,SEI,23149,['Cosmos'],,['sei-protocol'],SeiNetwork,https://www.sei.io/,,
opBNB,,,,"['EVM', 'Rollup']",204,['bnb-chain'],,,"{'chain': 'BSC', 'types': ['L2', 'gas']}",
Archway,archway,ARCH,27358,['Cosmos'],,['archway-network'],,,,
HydraDX,hydradx,HDX,6753,['Parachain'],,['galacticcouncil'],hydra_dx,https://hydradx.io/,"{'chain': 'Polkadot', 'types': ['parachain']}",
Shibarium,,,,['EVM'],,,ShibariumNet,https://shibatoken.com/,,
MVC,microvisionchain,SPACE,24193,['Cosmos'],,,,,,
ALV,alvey-chain,ALV,,['EVM'],,['AlveyCoin'],,,,
DSC,decimal,DEL,,['EVM'],,['decimalteam'],,,,
Darwinia,darwinia-network-native-token,RING,5798,['EVM'],,['darwinia-network'],,,,
Pego,pego-network-2,PG,27723,['EVM'],,,,,,
Kroma,kroma,KRO,,['EVM'],,['kroma-network'],,,,
Manta,manta-network,MANTA,13631,"['EVM', 'Rollup']",169,['manta-network'],MantaNetwork,https://manta.network/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
ShimmerEVM,shimmer,SMR,14801,"['EVM', 'Rollup']",148,['iotaledger'],shimmernet,https://shimmer.network/,"{'chain': 'Shimmer', 'types': ['L2']}",
Beam,,MC,,['EVM'],4337,['Merit-Circle'],MeritCircle_IO,https://meritcircle.io/,"{'chain': 'Avalanche', 'types': ['subnet']}",
NOS,,,,"['EVM', 'Bitcoin Sidechains']",,,,,,
Scroll,,,,"['EVM', 'Rollup']",534352,['scroll-tech'],Scroll_ZKP,https://scroll.io/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
RENEC,renec,RENEC,24143,,,['renec-chain'],,,,
Bifrost Network,bifrost,BFC,7817,['EVM'],,['bifrost-platform'],Bifrost_Network,https://www.bifrostnetwork.com/,,
Radix,radix,XRD,11948,,,['radixdlt'],radixdlt,https://www.radixdlt.com/,,
Nolus,nolus,NLS,,['Cosmos'],,['nolus-protocol'],,,,
ETHF,ethereumfair,ETHF,21842,['EVM'],,['ethereumfair'],,,,
MEER,qitmeer-network,MEER,15658,['EVM'],,,,,,
Elysium,,,,['EVM'],,,,,,
Horizen EON,zencash,ZEN,,['EVM'],7332,,horizenglobal,https://www.horizen.io/,,
Chiliz,chiliz,CHZ,4066,['EVM'],88888,,Chiliz,https://www.chiliz.com/,,
LightLink,,,,"['EVM', 'Rollup']",1890,,,,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
PGN,,,,['EVM'],,,,,,
Mayachain,cacao,CACAO,,,,,Maya_Protocol,https://www.mayaprotocol.com/,,
Dash,dash,DASH,131,,,,dashpay,https://www.dash.org/,,
