address,is_eligible_l1_gas,is_eligible_opc_gas,a_min_contract_created_at,b_last_transfers_in_days,c_last_active_in_days,d_gas_fee_eth_last_180days_threshold,e_is_wlta_creator,multiplier,op_amount_raw
0x01b0c2d82776a409d6518c5ffac441b4f0788481,False,True,False,True,True,True,False,1.25,59199692963833129511
0x01b6174d5b8be296a82042766e7b92404dd6fcdf,False,True,False,False,False,True,False,1.05,36843491676873000529
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,False,True,True,True,True,True,False,1.5,188412605347235967201
0x01bf1d4e54f9eb16f26a40eca62a2ab9915e8de4,False,True,False,True,False,True,False,1.1,490776657584032079740
0x01c2bb92901f6b5ff3ec9639d77a4a427a9d0bd8,True,False,False,False,False,False,False,1.0,20874348583374299437
0x01c2d862c7b47d34e9c25b1888c67fe66a67228d,True,False,True,True,False,True,False,1.25,41505888550921660851
0x01c34dcbbd8d58dbd164d6f0696a479bb3cf49a2,True,False,True,True,True,True,False,1.5,20446203347040814435
0x01c468c998a6f50a4a13eb3ca709305b44310d1d,False,True,False,True,True,True,False,1.25,47247055863009379095
0x01c6117707847f28eccb0547a2e4e7c4e3df3704,True,False,False,True,True,True,False,1.25,1211858870125336125056
0x01c79c0f4cd002b8e83f846a08770196a30a46f5,True,False,False,True,False,False,False,1.05,757914350831028741595
0x01caa887f35a4d65dce58fd4a02b00a113764835,False,True,False,False,True,True,False,1.1,82533138893103810574
0x01cb023186cab05220554ee75b4d69921dd051f1,True,False,True,True,True,True,True,1.5,154478844702186194127
0x01cf911dd46f90290bf5f93d0ef34237df7df1b6,True,True,False,False,False,True,False,1.05,35054203408380764984
0x01cfd327d29d9c6a07b7613494797a67e89570a0,True,False,True,True,True,True,False,1.5,456208059605155881400
0x01d0c0693805d6998b6f1caa7f9f8a1c008d1ddd,False,True,False,True,True,True,False,1.25,60981023086640618658
0x01d13c279b023397954762c2e4494bc421e2c6cc,True,False,False,False,False,False,False,1.0,73547399287468977036
0x01d7cfb4bceb9dd6e917b59434590698c953e36c,True,False,True,True,False,True,False,1.25,45751270987677450819
